

New Run
Time: 0  p: -0.06248219540730602  x: 0.9882224126601156
Time: 0.06283185307179587  p: -0.1234926117874175  x: 0.9726795121408629
Time: 0.12566370614359174  p: -0.1828133181125292  x: 0.9535076047318477
Time: 0.1884955592153876  p: -0.24023746677277244  x: 0.9308550081725093
Time: 0.25132741228718347  p: -0.2955699135420477  x: 0.9048812176699361
Time: 0.3141592653589793  p: -0.34862777813311807  x: 0.8757560430021527
Time: 0.37699111843077515  p: -0.39924094423503503  x: 0.8436587207595349
Time: 0.439822971502571  p: -0.44725249819222407  x: 0.8087770057984434
Time: 0.5026548245743668  p: -0.49251910574901786  x: 0.7713062459857096
Time: 0.5654866776461627  p: -0.5349113265450518  x: 0.7314484443005728
Time: 0.6283185307179585  p: -0.5743138663047324  x: 0.6894113123324309
Time: 0.6911503837897544  p: -0.6106257669169839  x: 0.6454073191687536
Time: 0.7539822368615502  p: -0.6437605348487427  x: 0.5996527396081999
Time: 0.816814089933346  p: -0.6736462085763169  x: 0.5523667055599323
Time: 0.8796459430051419  p: -0.7002253659519129  x: 0.5037702644018996
Time: 0.9424777960769377  p: -0.7234550726475614  x: 0.45408544796910977
Time: 1.0053096491487337  p: -0.7433067730345922  x: 0.4035343557283113
Time: 1.0681415022205296  p: -0.7597661250630273  x: 0.35233825556875564
Time: 1.1309733552923256  p: -0.7728327809011283  x: 0.3007167055005723
Time: 1.1938052083641215  p: -0.7825201152802675  x: 0.24888669940354097
Time: 1.2566370614359175  p: -0.7888549036637492  x: 0.19706183981049089
Time: 1.3194689145077134  p: -0.7918769525197156  x: 0.14545154054203455
Time: 1.3823007675795094  p: -0.7916386841274142  x: 0.09426026183370112
Time: 1.4451326206513053  p: -0.7882046784825095  x: 0.04368678041364262
Time: 1.5079644737231013  p: -0.7816511749904975  x: -0.006076503200174388
Time: 1.5707963267948972  p: -0.7720655367473772  x: -0.05484421810911986
Time: 1.6336281798666932  p: -0.7595456803033652  x: -0.10243863527454826
Time: 1.6964600329384891  p: -0.7441994738884783  x: -0.14869023691811376
Time: 1.759291886010285  p: -0.7261441071481844  x: -0.1934382416157368
Time: 1.822123739082081  p: -0.7055054354930241  x: -0.23653108382693042
Time: 1.884955592153877  p: -0.6824173022081657  x: -0.2778268468099529
Time: 1.947787445225673  p: -0.6570208414973855  x: -0.3171936480821812
Time: 2.0106192982974687  p: -0.6294637656510985  x: -0.354509976793349
Time: 2.0734511513692646  p: -0.5998996395300086  x: -0.38966498258603555
Time: 2.1362830044410606  p: -0.5684871455449535  x: -0.42255871572222037
Time: 2.1991148575128565  p: -0.5353893422898801  x: -0.4531023184560539
